Exercise,Category,SubCategory,Best,Best Date,Notes
Lat Pulldown One Arm (Neutral Grip),Back,Lats,"60x10, 60x8, 55x9",10/29/2025,
Lat Pulldown One Arm (Sideways),Back,Lats,"65x9, 65x7, 60x9",7/7/2025,
Straight Arm Lat Pull (Cable One Arm),Back,Lats,"35x8, 32.5x8, 30x8",8/21/2025,
Straight Arm Lat Pull (Rope),Back,Lats,"50x11, 50x10, 50x8",1/1/2025,My old bests are way too heavy. The longer rope with good form is tough
30 Pull Ups (Timed),Back,Pull Up,1:46,3/4/2025,
Chin Ups,Back,Pull Up,"11, 10, 8",8/17/2026,
Corn Cob Pull Ups,Back,Pull Up,"3, 2, 2",12/19/2025,
Dead Hang Pull Ups,Back,Pull Up,"11, 9, 7",6/26/2026,
Legs Out Pull Ups,Back,Pull Up,"3, 3, 3",8/6/2026,
Pause at Middle Pull Ups,Back,Pull Up,"8, 7, 5",2/25/2026,pause both up and down
Pause at Top Pull Ups,Back,Pull Up,"9, 7, 6",8/6/2026,
Pull Ups,Back,Pull Up,"14, 11, 8",8/17/2026,
Pull Ups (Weighted),Back,Pull Up,"25x8, 15x9, 15x8, 10x7",1/10/2025,
Pull Ups (Weighted) x4,Back,Pull Up,"25x8, 15x9, 15x8, 10x7",1/10/2025,
Slow Pull Ups,Back,Pull Up,"7, 6, 5",12/19/2025,slow up and down
Barbell Row x4,Back,Row,"185x10, 185x8, 175x9, 175x7",8/15/2025,
Bent Over One Arm Dumbbell Row,Back,Row,"80x12, 80x10, 80x8",3/12/2026,
Cable Row (One Arm Sit on Bench),Back,Row,"65x8, 60x10, 60x8",7/30/2025,
Inverted Row,Back,Row,"18, 16, 15",2/22/2025,"Slow, controlled, chest touches bar, try best not to use legs"
T-Bar Row,Back,Row,"125x10, 125x8, 120x9",2/7/2025,
T-Bar Row (Neutral Grip),Back,Row,,,
T-Bar Row (Neutral Grip) x4,Back,Row,"135x8, 125x9, 125x8, 115x10",9/4/2026,
T-Bar Row x4,Back,Row,"145x8, 135x10, 135x9, 135x8",10/17/2025,
Bicep Curl (W Bar),Biceps,,"30x9, 30x8, 27.5x8",11/4/2025,Just put the amount of weight on each side of the bar. 15lbs means a 15 plate on each side
Concentration Curl,Biceps,,"30x8, 25x10, 25x8",3/29/2025,
"Dumbbell Curl Start Neutral, Supinate, One Arm At a Time",Biceps,,"35x11, 35x10, 35x8",8/6/2026,
Dumbbell Curl Start Supinated. Both Arms Same Time,Biceps,,"30x12, 30x10, 30x8",7/29/2026,
Hammer Curl Dumbbell. Both Arms Same Time,Biceps,,"35x9, 35x8, 30x10",1/1/2025,My old bests are too heavy with bad form
Hammer Curl Dumbbell. One Arm At a Time,Biceps,,"35x10, 35x8, 30x10",8/11/2026,
Incline Curl,Biceps,,"30x10, 30x8, 25x10",7/1/2025,
Chest Fly Cable One Arm,Chest,"Fly, General","27.5x10, 27.5x8, 25x8",6/4/2025,
Chest Fly Dumbbell,Chest,"Fly, General","55x9, 55x7, 50x8",8/4/2026,
Chest Fly Dumbbell on Floor,Chest,"Fly, General","35x12, 45x9, 45x8",10/4/2025,Not a great exercise. No stretch
Incline Chest Fly Dumbbell,Chest,"Fly, Upper Chest","50x10, 50x8, 45x10",3/20/2025,
Bench Press Barbell x4,Chest,"Heavy Press, General","205x11, 205x9, 205x8, 195x8",4/13/2025,
Bench Press Flat Dumbbell x3,Chest,"Heavy Press, General","75x11, 75x9, 75x8",12/9/2024,
Bench Press Flat Dumbbell x4,Chest,"Heavy Press, General","90x10, 90x7, 85x8, 80x8",12/4/2025,
Incline Bench Press Dumbbell,Chest,"Heavy Press, Upper Chest","75x8, 65x10, 65x8",11/19/2024,
Incline Bench Press Dumbbell x4,Chest,"Heavy Press, Upper Chest","80x11, 80x8, 75x8, 70x9",7/27/2025,
Incline Bench Press x4,Chest,"Heavy Press, Upper Chest","175x8, 165x10, 165x7, 155x8",12/9/2025,
Chest Dip,Chest,Lower,"22, 20, 18",3/11/2026,
Chest Dip (Weighted),Chest,Lower,"45x11, 45x9, 45x8",1/21/2025,
Chest Dip Plus,Chest,Lower,,,The plus doesn't really add much to the chest for me
Chest Fly Cable One Arm (Decline),Chest,Lower,"32.5x10, 32.5x10, 32.5x8",12/31/2024,
Archer Push Up (Per Side),Chest,"Push Up, General","10, 8, 6",12/11/2025,
Close Grip Push Up (Tricep/Military),Chest,"Push Up, General","30, 26, 24",3/22/2026,
